"data","boletim","municipio_residencia","caso_confirmado","caso_descartado","caso_suspeito","mortes","latitude","longitude"
"22/03/2020",24,"Afonso Cláudio",0,0,1,0,-20.0778,-41.1261
"22/03/2020",24,"Cariacica",1,21,75,0,-20.2632,-40.4165
"22/03/2020",24,"Domingos Martins",0,1,4,0,-20.3603,-40.6594
"22/03/2020",24,"Fundão",0,0,1,0,-19.937,-40.4078
"22/03/2020",24,"Guarapari",0,4,9,0,-20.6772,-40.5093
"22/03/2020",24,"Itarana",0,1,0,0,-19.875,-40.8753
"22/03/2020",24,"Laranja da Terra",0,1,0,0,-19.8994,-41.0621
"22/03/2020",24,"Marechal Floriano",0,0,3,0,-20.4159,-40.67
"22/03/2020",24,"Santa Teresa",0,1,3,0,-19.9363,-40.5979
"22/03/2020",24,"Serra",0,27,127,0,-20.121,-40.3074
"22/03/2020",24,"Venda Nova do Imigrante",0,1,2,0,-20.327,-41.1355
"22/03/2020",24,"Viana",0,3,12,0,-20.3825,-40.4933
"22/03/2020",24,"Viana",0,3,12,0,-3.20451,-44.9912
"22/03/2020",24,"Vila Velha",11,73,220,0,-20.3417,-40.2875
"22/03/2020",24,"Vitória",11,63,114,0,-20.3155,-40.3128
"22/03/2020",24,"Água Doce do Norte",0,1,0,0,-18.5482,-40.9854
"22/03/2020",24,"Barra de São Francisco",0,1,6,0,-18.7548,-40.8965
"22/03/2020",24,"Boa Esperança",0,0,1,0,-24.2467,-52.7876
"22/03/2020",24,"Boa Esperança",0,0,1,0,-21.0927,-45.5612
"22/03/2020",24,"Boa Esperança",0,0,1,0,-18.5395,-40.3025
"22/03/2020",24,"Ecoporanga",0,0,1,0,-18.3702,-40.836
"22/03/2020",24,"Montanha",0,0,1,0,-18.1303,-40.3668
"22/03/2020",24,"Nova Venécia",0,2,4,0,-18.715,-40.4053
"22/03/2020",24,"Pinheiros",0,0,6,0,-18.4141,-40.2171
"22/03/2020",24,"São Mateus",0,3,3,0,-18.7214,-39.8579
"22/03/2020",24,"Alegre",0,2,0,0,-20.758,-41.5382
"22/03/2020",24,"Alfredo Chaves",0,0,1,0,-20.6396,-40.7543
"22/03/2020",24,"Anchieta",0,0,3,0,-26.5382,-53.3319
"22/03/2020",24,"Anchieta",0,0,3,0,-20.7955,-40.6425
"22/03/2020",24,"Apiacá",0,0,7,0,-21.1523,-41.5693
"22/03/2020",24,"Bom Jesus do Norte",0,0,3,0,-21.1173,-41.6731
"22/03/2020",24,"Cachoeiro de Itapemirim",1,8,14,0,-20.8462,-41.1198
"22/03/2020",24,"Castelo",0,0,5,0,-20.6033,-41.2031
